handle,title,product_type,vendor,tags,collection,daily_rate_gel,weekly_rate_gel,deposit_gel,brand,capacity,weight_kg,season_rating,condition_grade,whats_included,description,seo_title,seo_description
2-person-tent-msr-hubba,MSR Hubba Hubba 2-Person Tent Rental,Tent,MSR,"tent,2-person,3-season,beginner-friendly",tents-shelters,35,80,100,MSR,2-person,1.54,3-season,Excellent,"Tent body, rainfly, poles, stakes, guy lines, stuff sack, footprint",Lightweight 2-person backpacking tent ideal for weekend hikes around Tbilisi and multi-day treks in Georgia.,2-Person Tent Rental Tbilisi | [Your Brand],Rent MSR Hubba Hubba 2-person tent with door delivery in Tbilisi. 35 GEL/day or 80 GEL/week. Free return pickup.
4-person-tent-naturehike,Naturehike Cloud Peak 4-Person Tent Rental,Tent,Naturehike,"tent,4-person,family,beginner-friendly",tents-shelters,45,100,120,Naturehike,4-person,3.2,3-season,Excellent,"Tent body, rainfly, poles, stakes, guy lines, stuff sack",Spacious family tent perfect for car camping and group trips. Easy setup.,4-Person Tent Rental Tbilisi | [Your Brand],Rent a 4-person camping tent delivered to your door in Tbilisi. 45 GEL/day. Free return pickup included.
ultralight-tent-naturehike,Naturehike Cloud Wing 1-Person Tent Rental,Tent,Naturehike,"tent,1-person,ultralight",tents-shelters,30,70,80,Naturehike,1-person,0.95,3-season,Excellent,"Tent body, rainfly, poles, stakes, stuff sack",Ultralight solo tent for fast-and-light hiking. Under 1 kg packed weight.,1-Person Ultralight Tent Rental Tbilisi | [Your Brand],Rent an ultralight 1-person tent in Tbilisi. 30 GEL/day. Door delivery 5 GEL.
backpack-40l-osprey,Osprey Talon 44L Backpack Rental — Men's M/L,Backpack,Osprey,"backpack,daypack,multi-day,beginner-friendly",backpacks,25,60,75,Osprey,44L,1.2,All-season,Excellent,"Backpack, rain cover, repair patch kit",Versatile 44L day/multi-day pack with adjustable harness. Fits torso M/L.,Backpack Rental Tbilisi | [Your Brand],Rent Osprey Talon 44L backpack with delivery in Tbilisi. 25 GEL/day or 60 GEL/week.
backpack-65l-deuter,Deuter Aircontact 65+10L Backpack Rental — Men's,Backpack,Deuter,"backpack,multi-day,trekking",backpacks,30,75,100,Deuter,65+10L,2.1,All-season,Excellent,"Backpack, rain cover, pack liner",Heavy-duty trekking pack for multi-day hikes. Adjustable back system.,65L Trekking Backpack Rental Tbilisi | [Your Brand],Rent Deuter 65L trekking backpack delivered in Tbilisi. 30 GEL/day. Free return pickup.
backpack-30l-day,Deuter Futura 28L Day Pack Rental — Unisex,Backpack,Deuter,"backpack,daypack,beginner-friendly",backpacks,18,45,50,Deuter,28L,0.9,All-season,Good,"Backpack, rain cover",Comfortable day pack for day hikes around Tbilisi and short trips.,Day Pack Rental Tbilisi | [Your Brand],Rent a 28L day hiking backpack in Tbilisi. 18 GEL/day. Door delivery 5 GEL.
sleeping-bag-comfort,Sleeping Bag — Comfort 0°C Rental,Sleeping Bag,Sea to Summit,"sleeping-bag,3-season,beginner-friendly",sleeping-systems,15,40,50,Sea to Summit,Regular,0.85,3-season,Excellent,"Sleeping bag, compression stuff sack",Comfort-rated to 0°C. Suitable for most Georgian hiking seasons.,Sleeping Bag Rental Tbilisi | [Your Brand],Rent a comfort sleeping bag (0°C) in Tbilisi. 15 GEL/day. Delivered to your door.
sleeping-bag-winter,Sleeping Bag — Winter -10°C Rental,Sleeping Bag,Sea to Summit,"sleeping-bag,winter",sleeping-systems,20,55,70,Sea to Summit,Regular,1.3,4-season,Excellent,"Sleeping bag, compression stuff sack",Winter-rated sleeping bag for cold conditions in high Caucasus.,Winter Sleeping Bag Rental Tbilisi | [Your Brand],Rent a -10°C winter sleeping bag in Tbilisi. 20 GEL/day. Free return pickup.
sleeping-pad-inflatable,Sea to Summit Insulated Sleeping Pad Rental,Sleeping Pad,Sea to Summit,"sleeping-pad,insulated",sleeping-systems,10,28,30,Sea to Summit,Regular,0.45,All-season,Excellent,"Inflatable pad, repair kit, stuff sack",Insulated inflatable pad. R-value 3.1 for comfort on cold ground.,Sleeping Pad Rental Tbilisi | [Your Brand],Rent an insulated sleeping pad in Tbilisi. 10 GEL/day. Door delivery included.
sleeping-pad-foam,Closed-Cell Foam Sleeping Pad Rental,Sleeping Pad,Generic,"sleeping-pad,foam,beginner-friendly",sleeping-systems,5,15,15,Generic,Regular,0.4,All-season,Good,Foam pad,Budget-friendly foam pad. Reliable and lightweight.,Foam Sleeping Pad Rental Tbilisi | [Your Brand],Rent a foam sleeping pad in Tbilisi from 5 GEL/day. Affordable camping gear rental.
camp-stove-jetboil,Jetboil Flash Cooking System Rental,Cooking,Jetboil,"stove,cooking,beginner-friendly",cooking-water,12,32,40,Jetboil,1-person,0.37,All-season,Excellent,"Stove, pot, igniter, stabilizer, stuff sack (fuel NOT included)",Fast-boil integrated cooking system. Fuel canisters not included — available separately.,Camp Stove Rental Tbilisi | [Your Brand],Rent a Jetboil camp stove in Tbilisi. 12 GEL/day. Door delivery 5 GEL.
water-filter-sawyer,Sawyer Squeeze Water Filter Rental,Water,Sawyer,"water-filter,cooking",cooking-water,8,22,25,Sawyer,Group,0.08,All-season,Excellent,"Filter, squeeze pouch, cleaning syringe, backwash adapter",Lightweight water filter for trail and camp use.,Water Filter Rental Tbilisi | [Your Brand],Rent a Sawyer water filter in Tbilisi. 8 GEL/day. Essential for Georgian trail water.
cookset-msr,MSR Trail Lite Duo Cookset Rental,Cooking,MSR,"cookware,cooking",cooking-water,8,22,25,MSR,2-person,0.28,All-season,Excellent,"Pot, lid, two mugs, stuff sack",Compact 2-person cookset for trail meals.,Cookset Rental Tbilisi | [Your Brand],Rent an MSR cookset in Tbilisi. 8 GEL/day. Delivered to your door.
headlamp-blackdiamond,Black Diamond Spot 400 Headlamp Rental,Navigation,Black Diamond,"headlamp,safety,beginner-friendly",navigation-safety,5,14,15,Black Diamond,Individual,0.09,All-season,Excellent,"Headlamp, fresh batteries, instructions",400-lumen headlamp with red night vision mode.,Headlamp Rental Tbilisi | [Your Brand],Rent a Black Diamond headlamp in Tbilisi from 5 GEL/day.
first-aid-kit,Adventure First Aid Kit Rental,Safety,Generic,"first-aid,safety,beginner-friendly",navigation-safety,5,14,15,Generic,Group,0.35,All-season,Excellent,"First aid kit in waterproof case",Comprehensive trail first aid kit for groups up to 4.,First Aid Kit Rental Tbilisi | [Your Brand],Rent a hiking first aid kit in Tbilisi. 5 GEL/day.
trekking-poles-pair,Trekking Poles Pair Rental,Navigation,Generic,"treking-poles,beginner-friendly",navigation-safety,6,16,20,Generic,Pair,0.48,All-season,Good,"Two poles, tips, baskets, stuff sack",Adjustable aluminum trekking poles. Reduce knee strain on descents.,Trekking Poles Rental Tbilisi | [Your Brand],Rent trekking poles in Tbilisi from 6 GEL/day. Door delivery 5 GEL.
gps-garmin,Garmin eTrex 32x GPS Rental,Navigation,Garmin,"gps,navigation",navigation-safety,15,40,80,Garmin,Individual,0.14,All-season,Excellent,"GPS unit, lanyard, USB cable, instructions",Handheld GPS for off-trail navigation in remote areas.,GPS Rental Tbilisi | [Your Brand],Rent a Garmin GPS in Tbilisi. 15 GEL/day. Ideal for Svaneti and remote treks.
bundle-weekend-hiker,Weekend Hiker Kit Bundle,Bundle,[Your Brand],"bundle,weekend,beginner-friendly",bundles,35,85,0,[Your Brand],Kit,Varies,All-season,Excellent,"40L backpack, sleeping bag (0°C), sleeping pad, headlamp",Complete kit for a weekend hike. Save 15% vs. renting separately.,Weekend Hiker Kit Rental Tbilisi | [Your Brand],Rent a complete weekend hiking kit in Tbilisi. 35 GEL/day or 85 GEL/weekend. Free return pickup.
bundle-family-camp,Family Camp Kit Bundle,Bundle,[Your Brand],"bundle,family,beginner-friendly",bundles,55,150,0,[Your Brand],Kit,Varies,All-season,Excellent,"4P tent, 4 sleeping bags, camp stove, headlamps (x4)",Everything for a family camping trip. Save 20% vs. separate rental.,Family Camp Kit Rental Tbilisi | [Your Brand],Rent a family camping kit delivered in Tbilisi. 55 GEL/day. Door delivery 5 GEL.
bundle-solo-trek,Solo Trek Kit Bundle,Bundle,[Your Brand],"bundle,solo,trekking",bundles,45,120,0,[Your Brand],Kit,Varies,All-season,Excellent,"65L backpack, 1P tent, sleeping bag, pad, stove, headlamp",Complete solo multi-day trekking kit. Save 18% vs. separate rental.,Solo Trek Kit Rental Tbilisi | [Your Brand],Rent a complete solo trekking kit in Tbilisi. 45 GEL/day. Free return pickup.
