page_type,handle,title,seo_title,seo_description
homepage,/,Home,[Your Brand] — Hiking Gear Rental Tbilisi | Door Delivery,Rent premium hiking and camping gear in Tbilisi. Tents backpacks sleeping bags delivered to your door for 5 GEL. Free return pickup. Cash on delivery.
collection,all,All Rental Gear,Hiking Gear Rental Tbilisi | [Your Brand],Browse all rental hiking and camping equipment in Tbilisi. Tents backpacks sleeping systems and bundles with door delivery and free return pickup.
collection,tents-shelters,Tents & Shelters,Tent Rental Tbilisi | [Your Brand],Rent 1-person to 4-person tents in Tbilisi. MSR Naturehike and more. Delivered to your door for 5 GEL. Free return pickup.
collection,backpacks,Backpacks,Backpack Rental Tbilisi | [Your Brand],Rent Osprey and Deuter hiking backpacks in Tbilisi. Day packs to 65L trekking packs. Door delivery 5 GEL.
collection,sleeping-systems,Sleeping Systems,Sleeping Bag & Pad Rental Tbilisi | [Your Brand],Rent sleeping bags and sleeping pads in Tbilisi. 3-season and winter options. Delivered to your door.
collection,cooking-water,Cooking & Water,Camp Stove & Water Filter Rental Tbilisi | [Your Brand],Rent Jetboil stoves cooksets and water filters in Tbilisi. Essential camp cooking gear with door delivery.
collection,navigation-safety,Navigation & Safety,Headlamp GPS & Safety Gear Rental Tbilisi | [Your Brand],Rent headlamps GPS units trekking poles and first aid kits in Tbilisi for your hiking adventure.
collection,bundles,Adventure Bundles,Hiking Kit Bundles Tbilisi | [Your Brand],Save with complete hiking kit bundles in Tbilisi. Weekend hiker family camp and solo trek kits with delivery.
page,how-it-works,How It Works,How Hiking Gear Rental Works | [Your Brand],Simple 4-step rental process. Choose gear get agreement by email we deliver and pick up free in Tbilisi.
page,delivery,Delivery & Return Pickup,Delivery Tbilisi | [Your Brand],Door delivery across all Tbilisi districts for 5 GEL. Free return pickup included. Cash on delivery.
page,pricing,Pricing,Rental Pricing Tbilisi | [Your Brand],Transparent GEL pricing for hiking gear rental in Tbilisi. Daily and weekly rates plus 5 GEL delivery. No hidden fees.
page,gear-quality,Gear Quality,Gear Quality Standards | [Your Brand],Every item cleaned and inspected before rental. See our 15-point quality checklist and cleaning protocol.
page,rental-agreement,Rental Agreement,Rental Agreement | [Your Brand],Equipment rental agreement for [Your Brand] Tbilisi. ID verification and signed contract required at delivery.
page,faq,FAQ,Rental FAQ | [Your Brand],Answers about booking delivery payment ID verification returns and gear for hiking equipment rental in Tbilisi.
page,about,About,About [Your Brand],Tbilisi-based hiking gear rental. Quality equipment affordable prices door delivery and free return pickup.
page,contact,Contact,Contact [Your Brand],Get in touch about hiking gear rental in Tbilisi. Email phone and WhatsApp support.
page,refund-policy,Refund Policy,Refund Policy | [Your Brand],Cancellation and refund policy for hiking gear rental in Tbilisi Georgia.
